skill,role_type,exp_category,primary_location
Troubleshooting,Data Science,Mid Level (3-5 Yrs),Bangalore
MS SQLData analysis,Data Science,Junior (1-2 Yrs),Bangalore
Exceldata science,Data Science,Junior (1-2 Yrs),Bangalore
SSRSProgramming,Data Science,Junior (1-2 Yrs),Bangalore
Database,Data Science,Junior (1-2 Yrs),Bangalore
Operations Analyst,Data Science,Mid Level (3-5 Yrs),Bangalore
Financial analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
MISReconciliation,Data Science,Mid Level (3-5 Yrs),Bangalore
Cash flow,Data Science,Mid Level (3-5 Yrs),Bangalore
HTMLSales Associate,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Agile,Data Science,Mid Level (3-5 Yrs),Bangalore
Scrum,Data Science,Mid Level (3-5 Yrs),Bangalore
JIRABusiness analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Analytical skills,Data Science,Mid Level (3-5 Yrs),Bangalore
Economic analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Networking,Data Science,Mid Level (3-5 Yrs),Bangalore
Income tax,Data Science,Mid Level (3-5 Yrs),Bangalore
Power sector,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Cost benefit analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Forecasting,Data Science,Mid Level (3-5 Yrs),Bangalore
information system,Other,Mid Level (3-5 Yrs),Bangalore
Solution design,Other,Mid Level (3-5 Yrs),Bangalore
Medical billing,Other,Mid Level (3-5 Yrs),Bangalore
Clinical operations,Other,Mid Level (3-5 Yrs),Bangalore
Project documentation,Other,Mid Level (3-5 Yrs),Bangalore
Functional Analyst,Other,Mid Level (3-5 Yrs),Bangalore
Healthcare,Other,Mid Level (3-5 Yrs),Bangalore
Data processing,Other,Mid Level (3-5 Yrs),Bangalore
Analytical skills,Data Science,Mid Level (3-5 Yrs),Bangalore
C++Head Business Development,Data Science,Mid Level (3-5 Yrs),Bangalore
Associate Analystdata science,Data Science,Mid Level (3-5 Yrs),Bangalore
Javascript,Data Science,Mid Level (3-5 Yrs),Bangalore
Research,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Junior (1-2 Yrs),Bangalore
Finance,Data Science,Junior (1-2 Yrs),Bangalore
Market intelligence,Data Science,Junior (1-2 Yrs),Bangalore
Data collection,Data Science,Junior (1-2 Yrs),Bangalore
ISSData processing,Data Science,Junior (1-2 Yrs),Bangalore
Business intelligence,Data Science,Junior (1-2 Yrs),Bangalore
Licensing,Data Science,Junior (1-2 Yrs),Bangalore
Excel,Other,Junior (1-2 Yrs),Remote
Reporting Analyst,Other,Junior (1-2 Yrs),Remote
VBApower bi,Other,Junior (1-2 Yrs),Remote
Data Analysis,Other,Junior (1-2 Yrs),Remote
Data mining,Other,Junior (1-2 Yrs),Remote
Macros,Other,Junior (1-2 Yrs),Remote
Data interpretation,Other,Junior (1-2 Yrs),Remote
Penetration,Data Science,Mid Level (3-5 Yrs),Bangalore
Senior Executive,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Workflow,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Business strategy,Data Science,Mid Level (3-5 Yrs),Bangalore
New product development,Data Science,Mid Level (3-5 Yrs),Bangalore
Digital marketing,Data Science,Mid Level (3-5 Yrs),Bangalore
Business Intelligence,Data Science,Junior (1-2 Yrs),Bangalore
Power BI,Data Science,Junior (1-2 Yrs),Bangalore
SSASSSRSSSISData Science,Data Science,Junior (1-2 Yrs),Bangalore
Bi Tools,Data Science,Junior (1-2 Yrs),Bangalore
Dax,Data Science,Junior (1-2 Yrs),Bangalore
Supply chain,Data Science,Mid Level (3-5 Yrs),Hyderabad
Automation,Data Science,Mid Level (3-5 Yrs),Hyderabad
Software design,Data Science,Mid Level (3-5 Yrs),Hyderabad
Prototype,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data management,Data Science,Mid Level (3-5 Yrs),Hyderabad
Machine Learning,Data Science,Mid Level (3-5 Yrs),Hyderabad
Agile,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Analysis,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Science,Data Science,Mid Level (3-5 Yrs),Bangalore
Machine Learning,Data Science,Mid Level (3-5 Yrs),Bangalore
Python,Data Science,Mid Level (3-5 Yrs),Bangalore
Artificial Intelligence,Data Science,Mid Level (3-5 Yrs),Bangalore
NLP,Data Science,Mid Level (3-5 Yrs),Bangalore
Aiml,Data Science,Mid Level (3-5 Yrs),Bangalore
Causal AIReinforcement Learning,Data Science,Mid Level (3-5 Yrs),Bangalore
Data analysisdevops,Data Science,Mid Level (3-5 Yrs),Delhi
Consulting,Data Science,Mid Level (3-5 Yrs),Delhi
Integration testingcloud storage,Data Science,Mid Level (3-5 Yrs),Delhi
UATMentor,Data Science,Mid Level (3-5 Yrs),Delhi
Deployment,Data Science,Mid Level (3-5 Yrs),Delhi
Front end,Data Science,Senior (6-10 Yrs),Gurgaon
Information security,Data Science,Senior (6-10 Yrs),Gurgaon
Data structures,Data Science,Senior (6-10 Yrs),Gurgaon
Healthcare,Data Science,Senior (6-10 Yrs),Gurgaon
Application security,Data Science,Senior (6-10 Yrs),Gurgaon
Apache,Data Science,Senior (6-10 Yrs),Gurgaon
SCMJIRA,Data Science,Senior (6-10 Yrs),Gurgaon
Object oriented design,Data Science,Mid Level (3-5 Yrs),Gurgaon
Telecom,Data Science,Mid Level (3-5 Yrs),Gurgaon
Cloud computing,Data Science,Mid Level (3-5 Yrs),Gurgaon
Automation,Data Science,Mid Level (3-5 Yrs),Gurgaon
Product engineering,Data Science,Mid Level (3-5 Yrs),Gurgaon
Artificial Intelligence,Data Science,Mid Level (3-5 Yrs),Gurgaon
Application development,Data Science,Mid Level (3-5 Yrs),Gurgaon
Oracle,Data Science,Mid Level (3-5 Yrs),Gurgaon
data lakesdata pipelines,Data Science,Mid Level (3-5 Yrs),Hybrid - Gurgaon/ Gurgaon
Python,Data Science,Mid Level (3-5 Yrs),Hybrid - Gurgaon/ Gurgaon
SQLData Engineering,Data Science,Mid Level (3-5 Yrs),Hybrid - Gurgaon/ Gurgaon
Data warehouse,Data Science,Mid Level (3-5 Yrs),Hybrid - Gurgaon/ Gurgaon
Warehouse,Data Science,Mid Level (3-5 Yrs),Hybrid - Gurgaon/ Gurgaon
Pipeline,Data Science,Mid Level (3-5 Yrs),Hybrid - Gurgaon/ Gurgaon
Project Management,Data Science,Mid Level (3-5 Yrs),Mumbai
Data Analysis,Data Science,Mid Level (3-5 Yrs),Mumbai
Debugging,Data Science,Mid Level (3-5 Yrs),Mumbai
Data processing,Data Science,Mid Level (3-5 Yrs),Mumbai
Data quality,Data Science,Mid Level (3-5 Yrs),Mumbai
Application development,Data Science,Mid Level (3-5 Yrs),Mumbai
Troubleshooting,Data Science,Mid Level (3-5 Yrs),Mumbai
Data Analysis,Data Science,Mid Level (3-5 Yrs),Mumbai
Project Management,Data Science,Junior (1-2 Yrs),Gurgaon/ Gurgaon
Data Analysis,Data Science,Junior (1-2 Yrs),Gurgaon/ Gurgaon
Debugging,Data Science,Junior (1-2 Yrs),Gurgaon/ Gurgaon
Data processing,Data Science,Junior (1-2 Yrs),Gurgaon/ Gurgaon
Data quality,Data Science,Junior (1-2 Yrs),Gurgaon/ Gurgaon
Application development,Data Science,Junior (1-2 Yrs),Gurgaon/ Gurgaon
Troubleshooting,Data Science,Junior (1-2 Yrs),Gurgaon/ Gurgaon
Data Analysis,Data Science,Junior (1-2 Yrs),Gurgaon/ Gurgaon
spark,Data Science,Mid Level (3-5 Yrs),Bangalore
Cloudbig data,Data Science,Mid Level (3-5 Yrs),Bangalore
AWSData,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Engineering,Data Science,Mid Level (3-5 Yrs),Bangalore
Engineering,Data Science,Mid Level (3-5 Yrs),Bangalore
Senior,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Engineeringdemonstrationsprototypescase development,Data Science,Mid Level (3-5 Yrs),Mumbai
SQLcommunication skills,Data Science,Mid Level (3-5 Yrs),Mumbai
Development,Data Science,Mid Level (3-5 Yrs),Mumbai
Senior,Data Science,Mid Level (3-5 Yrs),Mumbai
Unix,Data Science,Senior (6-10 Yrs),Hyderabad/ Secunderabad
Linux,Data Science,Senior (6-10 Yrs),Hyderabad/ Secunderabad
RDBMSMy,Data Science,Senior (6-10 Yrs),Hyderabad/ Secunderabad
SQLStored procedures,Data Science,Senior (6-10 Yrs),Hyderabad/ Secunderabad
Financial services,Data Science,Senior (6-10 Yrs),Hyderabad/ Secunderabad
SQLPython,Data Science,Senior (6-10 Yrs),Hyderabad/ Secunderabad
Unix,Data Science,Mid Level (3-5 Yrs),Thane
Software design,Data Science,Mid Level (3-5 Yrs),Thane
Datastage,Data Science,Mid Level (3-5 Yrs),Thane
Agile,Data Science,Mid Level (3-5 Yrs),Thane
Informatica,Data Science,Mid Level (3-5 Yrs),Thane
Pentaho,Data Science,Mid Level (3-5 Yrs),Thane
Data Analysis,Data Science,Mid Level (3-5 Yrs),Thane
SQL,Data Science,Mid Level (3-5 Yrs),Thane
Unix,Data Science,Mid Level (3-5 Yrs),Bangalore
Software design,Data Science,Mid Level (3-5 Yrs),Bangalore
Datastage,Data Science,Mid Level (3-5 Yrs),Bangalore
Agile,Data Science,Mid Level (3-5 Yrs),Bangalore
Informatica,Data Science,Mid Level (3-5 Yrs),Bangalore
Pentaho,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
SQL,Data Science,Mid Level (3-5 Yrs),Bangalore
Big Data,Data Science,Junior (1-2 Yrs),Bangalore
Pythonetl pipelines,Data Science,Junior (1-2 Yrs),Bangalore
Data Engineering,Data Science,Junior (1-2 Yrs),Bangalore
AWSPipeline,Data Science,Junior (1-2 Yrs),Bangalore
ETLData,Data Science,Junior (1-2 Yrs),Bangalore
Hadoop,Data Science,Mid Level (3-5 Yrs),Bangalore
Pyspark,Data Science,Mid Level (3-5 Yrs),Bangalore
Hive,Data Science,Mid Level (3-5 Yrs),Bangalore
Azure,Data Science,Mid Level (3-5 Yrs),Bangalore
GCPScalakafka,Data Science,Mid Level (3-5 Yrs),Bangalore
Spark,Data Science,Mid Level (3-5 Yrs),Bangalore
Delivery Lead,Data Science,Mid Level (3-5 Yrs),Bangalore
Architecture,Data Science,Mid Level (3-5 Yrs),Bangalore
SASEnterprise architecture,Data Science,Mid Level (3-5 Yrs),Bangalore
MISData Architect,Data Science,Mid Level (3-5 Yrs),Bangalore
Design management,Data Science,Mid Level (3-5 Yrs),Bangalore
Informatica,Data Science,Mid Level (3-5 Yrs),Bangalore
Consulting,Data Science,Mid Level (3-5 Yrs),Bangalore
Customer retention,Data Science,Mid Level (3-5 Yrs),Bangalore
HTTPBusiness intelligence,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Counselling,Data Science,Mid Level (3-5 Yrs),Bangalore
Monitoring,Data Science,Mid Level (3-5 Yrs),Bangalore
SQL,Data Science,Mid Level (3-5 Yrs),Bangalore
Consulting,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
Customer retention,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
HTTPBusiness intelligence,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
Counselling,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
Monitoring,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
SQL,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
Pyspark,Data Science,Junior (1-2 Yrs),Bangalore
Azure Certified,Data Science,Junior (1-2 Yrs),Bangalore
SQL Azure,Data Science,Junior (1-2 Yrs),Bangalore
Python,Data Science,Junior (1-2 Yrs),Bangalore
Databricks certification,Data Science,Junior (1-2 Yrs),Bangalore
Certified,Data Science,Junior (1-2 Yrs),Bangalore
Senior,Data Science,Junior (1-2 Yrs),Bangalore
Data modeling,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Agile,Data Science,Mid Level (3-5 Yrs),Bangalore
PLSQLData quality,Data Science,Mid Level (3-5 Yrs),Bangalore
SSISAnalytics,Data Science,Mid Level (3-5 Yrs),Bangalore
Monitoring,Data Science,Mid Level (3-5 Yrs),Bangalore
query optimization,Data Science,Mid Level (3-5 Yrs),Pune
SQLAction plan,Data Science,Mid Level (3-5 Yrs),Pune
Subversion,Data Science,Mid Level (3-5 Yrs),Pune
Business Analysis,Data Science,Mid Level (3-5 Yrs),Pune
Debugging,Data Science,Mid Level (3-5 Yrs),Pune
Consulting,Data Science,Mid Level (3-5 Yrs),Pune
Equity,Data Science,Mid Level (3-5 Yrs),Pune
Agile,Data Science,Junior (1-2 Yrs),Bangalore
Use Cases,Data Science,Junior (1-2 Yrs),Bangalore
Requirement Gathering,Data Science,Junior (1-2 Yrs),Bangalore
FRDBusiness Analysis,Data Science,Junior (1-2 Yrs),Bangalore
Wireframing,Data Science,Junior (1-2 Yrs),Bangalore
Brd,Data Science,Junior (1-2 Yrs),Bangalore
Scrum Master,Data Science,Junior (1-2 Yrs),Bangalore
Automation,Data Science,Expert (10+ Yrs),Bangalore/ Bangalore
Data Analysis,Data Science,Expert (10+ Yrs),Bangalore/ Bangalore
Artificial Intelligence,Data Science,Expert (10+ Yrs),Bangalore/ Bangalore
Machine Learning,Data Science,Expert (10+ Yrs),Bangalore/ Bangalore
Algorithm development,Data Science,Expert (10+ Yrs),Bangalore/ Bangalore
Pattern recognition,Data Science,Expert (10+ Yrs),Bangalore/ Bangalore
Data mining,Data Science,Expert (10+ Yrs),Bangalore/ Bangalore
Ruby,Data Science,Expert (10+ Yrs),Bangalore/ Bangalore
Computer science,Data Science,Expert (10+ Yrs),Chennai
GCPdevops,Data Science,Expert (10+ Yrs),Chennai
Consulting,Data Science,Expert (10+ Yrs),Chennai
Machine Learning,Data Science,Expert (10+ Yrs),Chennai
OLAPpower bi,Data Science,Expert (10+ Yrs),Chennai
Data Analysis,Data Science,Expert (10+ Yrs),Chennai
Microstrategy,Data Science,Mid Level (3-5 Yrs),Indore
SANGITSOCConsulting,Data Science,Mid Level (3-5 Yrs),Indore
JSONBusiness intelligence,Data Science,Mid Level (3-5 Yrs),Indore
SQL,Data Science,Mid Level (3-5 Yrs),Indore
Automation,Data Science,Junior (1-2 Yrs),Mumbai
Project Management,Data Science,Junior (1-2 Yrs),Mumbai
Eclipse,Data Science,Junior (1-2 Yrs),Mumbai
Agile,Data Science,Junior (1-2 Yrs),Mumbai
Perl,Data Science,Junior (1-2 Yrs),Mumbai
Application development,Data Science,Junior (1-2 Yrs),Mumbai
Windows,Data Science,Junior (1-2 Yrs),Mumbai
SDLC,Data Science,Junior (1-2 Yrs),Mumbai
Data Analysis,Data Science,Expert (10+ Yrs),Pune
Database design,Data Science,Expert (10+ Yrs),Pune
SQLJavascript,Data Science,Expert (10+ Yrs),Pune
Agile,Data Science,Expert (10+ Yrs),Pune
Test cases,Data Science,Expert (10+ Yrs),Pune
Data mining,Data Science,Expert (10+ Yrs),Pune
Data Analysis,Data Science,Expert (10+ Yrs),Pune
production cost modellingelectricity marketplexosenergy marketenergy market price forecastpower market analysisenergy data,Data Science,Senior (6-10 Yrs),Mumbai
Modeling,Data Science,Senior (6-10 Yrs),Mumbai
Change management,Data Science,Junior (1-2 Yrs),Mumbai
Data Analysis,Data Science,Junior (1-2 Yrs),Mumbai
Instrumentation,Data Science,Junior (1-2 Yrs),Mumbai
Information management,Data Science,Junior (1-2 Yrs),Mumbai
MS Office,Data Science,Junior (1-2 Yrs),Mumbai
Continuous improvement,Data Science,Junior (1-2 Yrs),Mumbai
Risk management,Data Science,Junior (1-2 Yrs),Mumbai
Change management,Data Science,Junior (1-2 Yrs),Kolkata
Data Analysis,Data Science,Junior (1-2 Yrs),Kolkata
Instrumentation,Data Science,Junior (1-2 Yrs),Kolkata
Information management,Data Science,Junior (1-2 Yrs),Kolkata
MS Office,Data Science,Junior (1-2 Yrs),Kolkata
Continuous improvement,Data Science,Junior (1-2 Yrs),Kolkata
Risk management,Data Science,Junior (1-2 Yrs),Kolkata
Lubricants,Data Science,Mid Level (3-5 Yrs),Chennai
Industry Research,Data Science,Mid Level (3-5 Yrs),Chennai
Business Consulting,Data Science,Mid Level (3-5 Yrs),Chennai
Secondary Research,Data Science,Mid Level (3-5 Yrs),Chennai
Qualitative Research,Data Science,Mid Level (3-5 Yrs),Chennai
Forecasting,Data Science,Mid Level (3-5 Yrs),Chennai
Data Analysis,Data Science,Mid Level (3-5 Yrs),Chennai
Report Writing,Data Science,Mid Level (3-5 Yrs),Chennai
business users,Data Science,Mid Level (3-5 Yrs),Chennai
Power Bi Dashboards,Data Science,Mid Level (3-5 Yrs),Chennai
Client Interfacing,Data Science,Mid Level (3-5 Yrs),Chennai
Data Visualization,Data Science,Mid Level (3-5 Yrs),Chennai
Senior Data Analyst,Data Science,Mid Level (3-5 Yrs),Chennai
SQLRSenior BI Analyst,Data Science,Mid Level (3-5 Yrs),Chennai
Data Modeling,Data Science,Junior (1-2 Yrs),Bangalore
Data Architecture,Data Science,Junior (1-2 Yrs),Bangalore
Data design,Data Science,Junior (1-2 Yrs),Bangalore
Data Modeler,Data Science,Junior (1-2 Yrs),Bangalore
Data Mappingdata model,Data Science,Junior (1-2 Yrs),Bangalore
Metadata Managementdata security,Data Science,Junior (1-2 Yrs),Bangalore
Data Analysis,Data Science,Junior (1-2 Yrs),Kolkata
Data modeling,Data Science,Junior (1-2 Yrs),Kolkata
Database design,Data Science,Junior (1-2 Yrs),Kolkata
Data Architect,Data Science,Junior (1-2 Yrs),Kolkata
Archiving,Data Science,Junior (1-2 Yrs),Kolkata
Business intelligence,Data Science,Junior (1-2 Yrs),Kolkata
Project delivery,Data Science,Junior (1-2 Yrs),Kolkata
SQL,Data Science,Junior (1-2 Yrs),Kolkata
Computer science,Data Science,Mid Level (3-5 Yrs),Remote
SANData analysis,Data Science,Mid Level (3-5 Yrs),Remote
Machine Learning,Data Science,Mid Level (3-5 Yrs),Remote
Data quality,Data Science,Mid Level (3-5 Yrs),Remote
Business strategy,Data Science,Mid Level (3-5 Yrs),Remote
Budgeting,Data Science,Mid Level (3-5 Yrs),Remote
Secondary research,Data Science,Mid Level (3-5 Yrs),Remote
Business process,Data Science,Senior (6-10 Yrs),Mumbai
Data Analysis,Data Science,Senior (6-10 Yrs),Mumbai
Manager Quality Assurance,Data Science,Senior (6-10 Yrs),Mumbai
Financial reporting,Data Science,Senior (6-10 Yrs),Mumbai
Finance,Data Science,Senior (6-10 Yrs),Mumbai
Project Management,Data Science,Senior (6-10 Yrs),Mumbai
Financial services,Data Science,Senior (6-10 Yrs),Mumbai
Monitoring,Data Science,Senior (6-10 Yrs),Mumbai
Azure Data Factory,Data Science,Mid Level (3-5 Yrs),Hyderabad
Power BI,Data Science,Mid Level (3-5 Yrs),Hyderabad
Azure Data Warehouse,Data Science,Mid Level (3-5 Yrs),Hyderabad
SQL Azure,Data Science,Mid Level (3-5 Yrs),Hyderabad
SSASSSRSAzure Data Lake,Data Science,Mid Level (3-5 Yrs),Hyderabad
SSIS,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Data managementdevops,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Architect,Data Science,Mid Level (3-5 Yrs),Bangalore
Data quality,Data Science,Mid Level (3-5 Yrs),Bangalore
SQLPython,Data Science,Mid Level (3-5 Yrs),Bangalore
Architecture,Data Science,Mid Level (3-5 Yrs),Bangalore
tableaudata manipulation,Data Science,Junior (1-2 Yrs),Pune
Data Architect,Data Science,Junior (1-2 Yrs),Pune
CREData Analyst,Data Science,Junior (1-2 Yrs),Pune
Business solutions,Data Science,Junior (1-2 Yrs),Pune
Macros,Data Science,Junior (1-2 Yrs),Pune
SQL,Data Science,Junior (1-2 Yrs),Pune
Social Mediadata analysisdata analyticssentiment analysiscustomer serviceweb technologiesbusiness insightsexternal communications,Data Science,Junior (1-2 Yrs),Bangalore
market research,Data Science,Mid Level (3-5 Yrs),Gurgaon
SPSSquantum,Data Science,Mid Level (3-5 Yrs),Gurgaon
Research,Data Science,Mid Level (3-5 Yrs),Gurgaon
Marketing,Data Science,Mid Level (3-5 Yrs),Gurgaon
Processing,Data Science,Mid Level (3-5 Yrs),Gurgaon
Process,Data Science,Mid Level (3-5 Yrs),Gurgaon
Artificial Intelligence,Data Science,Junior (1-2 Yrs),Bangalore/ Bangalore
SQLMachine learning,Data Science,Junior (1-2 Yrs),Bangalore/ Bangalore
SCALAClient interactiondata visualization,Data Science,Junior (1-2 Yrs),Bangalore/ Bangalore
Data Analysis,Data Science,Junior (1-2 Yrs),Bangalore/ Bangalore
Python,Data Science,Junior (1-2 Yrs),Bangalore/ Bangalore
Data management,Data Science,Mid Level (3-5 Yrs),Bangalore
SFDCStaffing,Data Science,Mid Level (3-5 Yrs),Bangalore
Clouddata governance,Data Science,Mid Level (3-5 Yrs),Bangalore
Data quality,Data Science,Mid Level (3-5 Yrs),Bangalore
Informaticadata visualization,Data Science,Mid Level (3-5 Yrs),Bangalore
Usage,Data Science,Mid Level (3-5 Yrs),Gurgaon
Excel,Data Science,Mid Level (3-5 Yrs),Gurgaon
Social media,Data Science,Mid Level (3-5 Yrs),Gurgaon
Focus,Data Science,Mid Level (3-5 Yrs),Gurgaon
Database,Data Science,Mid Level (3-5 Yrs),Gurgaon
Workflow,Data Science,Mid Level (3-5 Yrs),Gurgaon
MS Office,Data Science,Mid Level (3-5 Yrs),Gurgaon
Editor,Data Science,Mid Level (3-5 Yrs),Gurgaon
Data Management,Data Science,Senior (6-10 Yrs),Hybrid - Chennai
Data Analysis,Data Science,Senior (6-10 Yrs),Hybrid - Chennai
Data Analysis,Data Science,Senior (6-10 Yrs),Hybrid - Chennai
Data Governance,Data Science,Senior (6-10 Yrs),Hybrid - Chennai
Data Analysis,Data Science,Senior (6-10 Yrs),Hybrid - Chennai
Governance,Data Science,Senior (6-10 Yrs),Hybrid - Chennai
Business Intelligence,Data Science,Mid Level (3-5 Yrs),Noida
Power BI,Data Science,Mid Level (3-5 Yrs),Noida
Excel Dashboards,Data Science,Mid Level (3-5 Yrs),Noida
Power Bi Reports,Data Science,Mid Level (3-5 Yrs),Noida
Power Bi Dashboards,Data Science,Mid Level (3-5 Yrs),Noida
SQL Server Analysis Services,Data Science,Mid Level (3-5 Yrs),Noida
Business Analysis,Data Science,Mid Level (3-5 Yrs),Noida
Microsoft Power Bi,Data Science,Mid Level (3-5 Yrs),Noida
Automationmetadata,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data modeling,Data Science,Mid Level (3-5 Yrs),Hyderabad
Office equipment,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Analysis,Data Science,Mid Level (3-5 Yrs),Hyderabad
Agile,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data structures,Data Science,Mid Level (3-5 Yrs),Hyderabad
FMCG,Data Science,Mid Level (3-5 Yrs),Hyderabad
time series analysisdata analyticsnatural language processingneural networksaimlmachine learningartificial intelligencetext analytics,Data Science,Senior (6-10 Yrs),Gurgaon
Market Research,Data Science,Senior (6-10 Yrs),Noida
Quantum,Data Science,Senior (6-10 Yrs),Noida
Data Processing,Data Science,Senior (6-10 Yrs),Noida
SPSSTableau,Data Science,Senior (6-10 Yrs),Noida
Dimension,Data Science,Senior (6-10 Yrs),Noida
Decipher,Data Science,Senior (6-10 Yrs),Noida
Processing,Data Science,Senior (6-10 Yrs),Noida
Iics,Data Science,Junior (1-2 Yrs),Gurgaon
Informatica Admin,Data Science,Junior (1-2 Yrs),Gurgaon
Informatica Powercenter,Data Science,Junior (1-2 Yrs),Gurgaon
Informatica,Data Science,Junior (1-2 Yrs),Gurgaon
Administration,Data Science,Junior (1-2 Yrs),Gurgaon
Powercenter,Data Science,Junior (1-2 Yrs),Gurgaon
Performance tuning,Data Science,Junior (1-2 Yrs),Delhi / NCR
Data modelingdata security,Data Science,Junior (1-2 Yrs),Delhi / NCR
Cloud,Data Science,Junior (1-2 Yrs),Delhi / NCR
Data structures,Data Science,Junior (1-2 Yrs),Delhi / NCR
PLSQLOracle,Data Science,Junior (1-2 Yrs),Delhi / NCR
SQL,Data Science,Junior (1-2 Yrs),Delhi / NCR
Dax Queries,Other,Mid Level (3-5 Yrs),Gurgaon
Power BI,Other,Mid Level (3-5 Yrs),Gurgaon
Sql Querying,Other,Mid Level (3-5 Yrs),Gurgaon
Data Warehousing,Other,Mid Level (3-5 Yrs),Gurgaon
Business Analysis,Other,Mid Level (3-5 Yrs),Gurgaon
Business Intelligence,Other,Mid Level (3-5 Yrs),Gurgaon
SQLFinance,Data Science,Junior (1-2 Yrs),Delhi
Machine Learning,Data Science,Junior (1-2 Yrs),Delhi
Programmingdata visualizationbig data,Data Science,Junior (1-2 Yrs),Delhi
Financial services,Data Science,Junior (1-2 Yrs),Delhi
SQL,Data Science,Junior (1-2 Yrs),Delhi
Loop,Data Science,Mid Level (3-5 Yrs),Chennai
Excel,Data Science,Mid Level (3-5 Yrs),Chennai
MS Accessdata reportingquery,Data Science,Mid Level (3-5 Yrs),Chennai
Data warehousing,Data Science,Mid Level (3-5 Yrs),Chennai
Data Analysis,Data Science,Mid Level (3-5 Yrs),Chennai
Microsoft,Data Science,Mid Level (3-5 Yrs),Chennai
SASData mining,Data Science,Junior (1-2 Yrs),Mumbai
Machine Learning,Data Science,Junior (1-2 Yrs),Mumbai
SQLPython,Data Science,Junior (1-2 Yrs),Mumbai
Data Visualizationstatistical analysis,Data Science,Junior (1-2 Yrs),Mumbai
conductcloseout,Data Science,Mid Level (3-5 Yrs),Delhi
Clinical Data Management,Data Science,Mid Level (3-5 Yrs),Delhi
Startup,Data Science,Mid Level (3-5 Yrs),Delhi
Query Management,Data Science,Mid Level (3-5 Yrs),Delhi
Reconciliation,Data Science,Mid Level (3-5 Yrs),Delhi
Rave,Data Science,Mid Level (3-5 Yrs),Delhi
Clinical,Data Science,Mid Level (3-5 Yrs),Delhi
Excel,Data Science,Mid Level (3-5 Yrs),Hyderabad
Social media,Data Science,Mid Level (3-5 Yrs),Hyderabad
Database,Data Science,Mid Level (3-5 Yrs),Hyderabad
MS Office,Data Science,Mid Level (3-5 Yrs),Hyderabad
Editor,Data Science,Mid Level (3-5 Yrs),Hyderabad
Microsoft,Data Science,Mid Level (3-5 Yrs),Hyderabad
Insights,Data Science,Mid Level (3-5 Yrs),Hyderabad
Office,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Quality,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Modeling,Data Science,Mid Level (3-5 Yrs),Hyderabad
Python,Data Science,Mid Level (3-5 Yrs),Hyderabad
SQLDatabricks,Data Science,Mid Level (3-5 Yrs),Hyderabad
Modeling,Data Science,Mid Level (3-5 Yrs),Hyderabad
Quality,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Bricks,Data Science,Mid Level (3-5 Yrs),Hyderabad
DATA ARCHITECTUREDATA STRATEGYDATA STRATEGISTDATA ARCHITECTArchitecture,Data Science,Junior (1-2 Yrs),Chennai
Strategist,Data Science,Junior (1-2 Yrs),Chennai
BPOGraphics,Data Science,Mid Level (3-5 Yrs),Noida
