Job Titles,Company Names,Experience Required,Package,Locations,Skills,Role Type,Primary Location,Exp Min,Exp Max,Exp Category,Salary Disclosed
Assistant Manager Qlik Sense & Analytics TOP MNC,Smart Source,8-13 Yrs,Not disclosed,Hyderabad/Secunderabad,business analysisbusiness process modelingdata analysisBIITILSDLCrequirement gatheringSix Sigma,Data Analytics,Hyderabad,8,13,Senior (6-10 Yrs),Not Disclosed
Consultant - Analytics,Metlife,2-5 Yrs,Not disclosed,Mumbai,Career developmentFinancial statementsManager Quality AssuranceFinancial reportingCodingBusiness analysisHTMLData quality,Data Analytics,Mumbai,2,5,Junior (1-2 Yrs),Not Disclosed
Consultant - Analytics,Metlife,3-5 Yrs,Not disclosed,Remote,advanced analyticsReport generationData analysisStatistical analysisDatabase managementData collectionHypothesis Testingdata visualization,Data Analytics,Remote,3,5,Mid Level (3-5 Yrs),Not Disclosed
Associate Manager,Tredence,3-6 Yrs,Not disclosed,Chennai,Structured productsData analysisWealth managementBusiness analysisLead Business AnalystFixed incomeAnalyticalMS Office,Other,Chennai,3,6,Mid Level (3-5 Yrs),Not Disclosed
Consultant - Analytics,Metlife,5-7 Yrs,Not disclosed,Jaipur,Business AnalyticsStakeholder ManagementData WarehousingETLSQLManagementDataAnalytics,Data Analytics,Jaipur,5,7,Mid Level (3-5 Yrs),Not Disclosed
MIS Support Assistant,United Nations Development Programme (UNDP),1-5 Yrs,Not disclosed,Kozhikode,Electrical engineeringStatistical analysisCommodity AnalystAnalyticalICWAAdvanced ExcelCost benefit analysisMechanical engineering,Other,Kozhikode,1,5,Junior (1-2 Yrs),Not Disclosed
Consultant - Analytics,Metlife,2-5 Yrs,Not disclosed,Jaipur,data domainMaster data managementdata governanceData qualityCustomer serviceInformaticadata visualizationContinuous improvement,Data Analytics,Jaipur,2,5,Junior (1-2 Yrs),Not Disclosed
Consultant - Analytics,Metlife,3-8 Yrs,Not disclosed,Mumbai,Data analysisData modelingCodingData qualityInvestment managementTest casesFinancial servicesBalance Sheet,Data Analytics,Mumbai,3,8,Mid Level (3-5 Yrs),Not Disclosed
Consultant-Analytics,Metlife,12-15 Yrs,Not disclosed,Calicut/Kozhikode,Supply chainBusiness servicesData analysisPublishingRDBMSData structuresMS OfficeBusiness intelligence,Data Analytics,Calicut/Kozhikode,12,15,Expert (10+ Yrs),Not Disclosed
Programmatic Specialist,Brainlabs Digital,4-8 Yrs,Not disclosed,Chennai,Data analysisportfolio reconciliationdata managementinvestment bankingtrade supportpost settlementData Capturecapital market,Other,Chennai,4,8,Mid Level (3-5 Yrs),Not Disclosed
Business Analytics Consultant,Procdna,6-9 Yrs,Not disclosed,Chennai,Data analysisMS ExcelMS FASTEndecateam managementkeyword researchgoogle analyticsIBM Solr,Data Analytics,Chennai,6,9,Senior (6-10 Yrs),Not Disclosed
Hiring For Search Specialist from leading IT Sector Company,Dheepan Chakravarthi Solutions,2-4 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram,Data analysisinvestment bankingtrade supportbbmfixed incomecredit derivativescorporate actionsAnalysis,Other,Trivandrum/Thiruvananthapuram,2,4,Junior (1-2 Yrs),Not Disclosed
