Job Titles,Company Names,Experience Required,Package,Locations,Skills,Role Type,Primary Location,Exp Min,Exp Max,Exp Category,Salary Disclosed
Manager - Digital Product Analytics [Data Science],Resy,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,Product managementCareer developmentOperations researchData modelingAnalyticalRelationship buildingMachine learningSQL,Data Science,Gurgaon,4,8,Mid Level (3-5 Yrs),Not Disclosed
Data Science Domain Manager,Coursera,7-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Computer scienceContent strategyData analysisUsagedata scienceArtificial IntelligenceMachine learningData analytics,Data Science,Kolkata,7,11,Senior (6-10 Yrs),Not Disclosed
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,1-3 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Change managementSASCodingData miningPythonRstatistic techniquesDebugging,Data Science,Mumbai,1,3,Junior (1-2 Yrs),Not Disclosed
Data Science Manager,Foreign IT Consulting MNC,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,Operations researchSASFinanceProject managementAnalyticalData processingmicrosoftEconometrics,Data Science,Gurgaon,2,6,Junior (1-2 Yrs),Not Disclosed
Data Science Manager,Foreign IT Consulting MNC,3-6 Yrs,Not disclosed,Noida,Data analysisEDCRisk assessmentrisk modelingMachine learningData processingmodel developmentFinancial services,Data Science,Noida,3,6,Mid Level (3-5 Yrs),Not Disclosed
"Analyst- Data Science (Python, Microsoft Power Apps)",AMERICAN EXPRESS,3-6 Yrs,Not disclosed,Gurgaon/Gurugram,Operations researchSASFinanceProject managementAnalyticalData processingmicrosoftEconometrics,Data Science,Gurgaon,3,6,Mid Level (3-5 Yrs),Not Disclosed
Data Science - Senior Data Scientist,Paytm,1-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Data Sciencedata analyticsSASData miningPythonRNLPMachine learning,Data Science,Mumbai,1,4,Junior (1-2 Yrs),Not Disclosed
Advance Analytical and Data Sciences -Manager,G R Infraprojects,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainOperations researchNoSQLdata sciencecassandraMachine learningMATLABSQL,Data Science,Bangalore,5,10,Mid Level (3-5 Yrs),Not Disclosed
Senior Analyst Data Science,Pepsi Foods,2-4 Yrs,Not disclosed,Faridabad,Cloud computingStatistical modelingExceldata scienceMachine learningcloud storagedigital transformationAnalytics,Data Science,Faridabad,2,4,Junior (1-2 Yrs),Not Disclosed
Head - Data Science & Business Analytics,Denave,2-5 Yrs,18-22.5 Lacs PA,Remote,Data ModelingPythonSQlDataData analysisScienceModelingData Science,Data Science,Remote,2,5,Junior (1-2 Yrs),Disclosed
"Analyst- Data Science (Python, Microsoft Power Apps)",Resy,2-5 Yrs,13-18 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Machine Learning AlgorithmsRegression ModelingPython DevelopmentPythonAlgorithmsDataMachine learningMachine,Data Science,Hybrid - Hyderabad,2,5,Junior (1-2 Yrs),Disclosed
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,0-0 Yrs,2.5-4 Lacs PA,"Lucknow, Uttar Pradesh",DATA SCIENCEPYTHON PROGRAMMINGArtificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningIntelligenceProgram,Data Science,Lucknow,0,0,Fresher (0 Yrs),Disclosed
Data Science Consultant,Blue Yonder,1-3 Yrs,Not disclosed,Noida,Statistical programmingAnalyticalSAS Rclinical developmentProgrammingSAS ProgrammingTroubleshootingOracle,Data Science,Noida,1,3,Junior (1-2 Yrs),Not Disclosed
Data Science & Analytics Professional,Onetick Technologies,5-8 Yrs,Unpaid,"Mumbai, New Delhi",Data analysisdata scienceAnalyticalMachine learningHTMLMonitoringFinancial servicesSQL,Data Science,Mumbai,5,8,Mid Level (3-5 Yrs),Disclosed
Data Science Analyst,Celersoft,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,Data analysisdata scienceSASAnalyticalMachine learningInformation managementSQLPython,Data Science,Hyderabad,3,7,Mid Level (3-5 Yrs),Not Disclosed
Senior Analyst- Data Science,Tiger Analytics,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceSQLArtificial IntelligenceNatural Language ProcessingData AnalysisAimlTableauMachine Learning,Data Science,Bangalore,1,3,Junior (1-2 Yrs),Not Disclosed
Data Science Engineer (Python),Swastikam Edutech Llp,6-11 Yrs,6-10 Lacs PA,Noida(Sector-126 Noida),data scientistimage processingdata labelNatural Language ProcessingLarge language modellingAILLMMachine Learning,Data Science,Noida(Sector-126 Noida),6,11,Senior (6-10 Yrs),Disclosed
DATA SCIENCE INTERN,Medtek Dot Ai,15-24 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Data SciencepythonPyTorchMachine LearningLarge language ManagementTensorFlowDataLanguages,Data Science,Hybrid - Bangalore,15,24,Expert (10+ Yrs),Not Disclosed
Data Science Intern,Gist Advisory,4-8 Yrs,Not disclosed,"Delhi / NCR, Mumbai (All Areas)",Computer scienceComputer visionSANImage processingSOCMachine learningSMSSignal processing,Data Science,Delhi / NCR,4,8,Mid Level (3-5 Yrs),Not Disclosed
"Senior Analyst, Data Science",DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceData MartArtificial IntelligenceData CurationData MiningData VisualizationData AnalyticsMachine Learning,Data Science,Bangalore,5,10,Mid Level (3-5 Yrs),Not Disclosed
Intermediate Data Science Specialist,Camp Dresser & Mckee,8-10 Yrs,Not disclosed,Remote,Data ScienceData analysisCoreNLPProject managementMySQLOpen sourceSQLPython,Data Science,Remote,8,10,Senior (6-10 Yrs),Not Disclosed
Data Science Engineer,Leverage Edu,12-20 Yrs,Not disclosed,"Mumbai, Navi Mumbai",Cluster analysisdeep learningorchestrationGCPMachine learningProcess qualityData analyticsAWS,Data Science,Mumbai,12,20,Expert (10+ Yrs),Not Disclosed
Data Science Engineer,HTC Global Services,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Data ScienceInsightsdataSASArtificial IntelligenceFinanceTableauForecasting,Data Science,Hyderabad,5,10,Mid Level (3-5 Yrs),Not Disclosed
Head Data Science -Leading Company - Mumbai / Delhi,Hector And Streak Consulting,5-6 Yrs,Not disclosed,"Noida, Uttar Pradesh, New Delhi, Delhi, Gurgaon/ Gurugram, Haryana",data scienceproject managementPower BIHIPAATableaumachine learningdata visualization toolsPython,Data Science,Noida,5,6,Mid Level (3-5 Yrs),Not Disclosed
Sr Research Engineer- Data Science,Ennoventure Technologies,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,PythonData ScienceDataScience,Data Science,Bangalore,6,11,Senior (6-10 Yrs),Not Disclosed
Senior Data Analyst (Data Science),Trigyn Technologies,5-8 Yrs,Not disclosed,Remote,Statistical programmingCareer developmentQCResourcingSAS RProgrammingMentorManagement,Data Science,Remote,5,8,Mid Level (3-5 Yrs),Not Disclosed
Lead Data Scientist - Data Science,Reserve Bank Information Technology,3-5 Yrs,Not disclosed,Chennai,AnalystHealth insuranceDigital mediacustomer analyticsdata scienceFinancial servicesMonitoringTravel insurance,Data Science,Chennai,3,5,Mid Level (3-5 Yrs),Not Disclosed
Data Science (Generative AI) - Senior Manager - ANI,PwC,5-9 Yrs,Not disclosed,Pune,Cloud computingManager Internal AuditBusiness analyticsConsultingMachine learningAgileGap analysisRisk management,Data Science,Pune,5,9,Mid Level (3-5 Yrs),Not Disclosed
Manager - Data Science | Leading Finance Co. | Gurgaon,Hindco Recruitment Consultants,5-10 Yrs,Not disclosed,Pune,Machine LearningPythonSQLDataManagementData ScienceScienceMachine,Data Science,Pune,5,10,Mid Level (3-5 Yrs),Not Disclosed
Data Science Manager,Neuberg Diagnostics,4-8 Yrs,Not disclosed,Hybrid - Chennai,Data analysisBackenddata scienceMachine learningData processingSEOJIRABusiness solutions,Data Science,Hybrid - Chennai,4,8,Mid Level (3-5 Yrs),Not Disclosed
Data Science Lead,IKS HEALTH,4-8 Yrs,Not disclosed,"Kolkata, Mumbai",Data ScienceNatural Language ProcessingMachine LearningDeep LearningPythonRSparkProcess,Data Science,Kolkata,4,8,Mid Level (3-5 Yrs),Not Disclosed
Statistical Data Sciences Lead (IC),Pfizer,5-8 Yrs,Not disclosed,"Kolkata, West Bengal, Mumbai (All Areas)",Analytical skillsdeep learningAnalystPublishingArchitecturedata scienceArtificial Intelligencedata visualization,Data Science,Kolkata,5,8,Mid Level (3-5 Yrs),Not Disclosed
"Senior Analyst, Customer Analytics(Data Science, SQL)","Western Union Financial Services, Inc",8-13 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Data managementdata scienceProject managementData analyticsdata visualizationManagementData miningBusiness intelligence,Data Science,Kolkata,8,13,Senior (6-10 Yrs),Not Disclosed
"Senior Model Governance Analyst, Data Science & Analytics",Transunion,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceJavadata managementdatabase programming languagesmathematical computingConfluenceJiraPython,Data Science,Bangalore,3,7,Mid Level (3-5 Yrs),Not Disclosed
Lead Data Scientist / Data Science - Manager | GeakMinds | Chennai,GeakMinds Technology Private Limited,5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",regressionrecommendationmachine learning algorithmsAnalyticsPythonRclusteringData,Data Science,Hyderabad,5,8,Mid Level (3-5 Yrs),Not Disclosed
Data Science Professional,Coders Brain Pvt Ltd,2-5 Yrs,Not disclosed,Remote,Data WranglingPandasData AnalysisData VisualizationJupyter NotebookNumpyPythonData,Data Science,Remote,2,5,Junior (1-2 Yrs),Not Disclosed
Urgent Opening For Data Science Engineer For Kolkata and Mumbai,Ascend Hr Solutions,3-5 Yrs,Not disclosed,Remote,Natural Language ProcessingStatistical ModelingMachine LearningData ScienceAdvanced AnalyticsDataScienceProcess,Data Science,Remote,3,5,Mid Level (3-5 Yrs),Not Disclosed
Senior Analyst Data Science,Navit Software Solutions,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Chemicaldata scienceData modelingAnalyticalGenomicsMachine learningCloudData analytics,Data Science,Bangalore,5,8,Mid Level (3-5 Yrs),Not Disclosed
"Manager, Data Science",Cerner,4-7 Yrs,Not disclosed,Pune,Cloud computingOperations researchAnalyticalAgileRisk managementBusiness intelligenceGamingAnalytics,Data Science,Pune,4,7,Mid Level (3-5 Yrs),Not Disclosed
Healthcare Data Science Engineer,Xperteez Technology,3-8 Yrs,Not disclosed,Pune,Analystdata scienceAnalyticalMachine learningProgrammingData analyticsPythonmachine,Data Science,Pune,3,8,Mid Level (3-5 Yrs),Not Disclosed
Data Science Engineer,Ifood Web Media Technology,6-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Predictive ModelingCustomer AnalyticsMarketing AnalyticsMachine LearningPythonAWSModelingAnalytics,Data Science,Hyderabad,6,8,Senior (6-10 Yrs),Not Disclosed
Sr. Data Science Engineer,Anetcorp India,2-4 Yrs,35-45 Lacs PA,Mumbai (All Areas),Product managementLinuxdata scienceAnalyticalMachine learningCloudAgileDatabase administration,Data Science,Mumbai (All Areas),2,4,Junior (1-2 Yrs),Disclosed
Intermediate Data Science Specialist,CDM Smith,3-7 Yrs,Not disclosed,Gurgaon/Gurugram,data scienceUnderwritingFinanceMachine learningAgileManager TechnologyActuarialNatural language processing,Data Science,Gurgaon,3,7,Mid Level (3-5 Yrs),Not Disclosed
Deputy Manager/ Assistant Manager - Data Science,Tata Chemicals,1-4 Yrs,Not disclosed,Gurgaon/Gurugram,ChatGPTMarketing MixAWSPythonSQLGenerative AIArtificial IntelligencePandas,Data Science,Gurgaon,1,4,Junior (1-2 Yrs),Not Disclosed
"Analytics Analyst, Data Science & Analytics",Transunion,3-7 Yrs,Unpaid,Pune,Business objectsSASProcess improvementXMLJavascriptData collectionManager Quality ControlSPSS,Data Science,Pune,3,7,Mid Level (3-5 Yrs),Disclosed
Data Science Analyst,Ira Commerce,12-15 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru(Dodda Nekkundi), Delhi / NCR",Marketing analyticsdata scienceBfsiSales analyticsSales forecastingHealthcareE-commerceMarketing Analyst,Data Science,Hyderabad,12,15,Expert (10+ Yrs),Not Disclosed
Senior Manager - Data Science | 6-8 Years| Mumbai,Xtage Technologies,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Computer scienceAutomationData migrationCodingDebuggingJavascriptSeleniumJIRA,Data Science,Kolkata,4,8,Mid Level (3-5 Yrs),Not Disclosed
Assistant Scientist - Data Science Platform,Axa Technology Services,4-8 Yrs,Not disclosed,"Noida, Pune, Bangalore/Bengaluru",Text miningCareer developmentCodingAnalyticalMachine learningmodel developmentRisk managementPython,Data Science,Noida,4,8,Mid Level (3-5 Yrs),Not Disclosed
Associate Scientist- Data Science,Axa Technology Services,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,SASData managementProject managementAnalyticalStrategic planningCustomer retentionMarket researchRecruitment,Data Science,Bangalore,10,12,Senior (6-10 Yrs),Not Disclosed
Data Science Intern,Tridiagonal Solutions,2-7 Yrs,Not disclosed,Gurgaon/Gurugram,Natural Language ProcessingLLMlarge language modelData Sciencegenerative ai servicesArtificial IntelligenceProcessingProcess,Data Science,Gurgaon,2,7,Junior (1-2 Yrs),Not Disclosed
Data Science Analyst,Omnicom Media Group,4-8 Yrs,Not disclosed,Pune,SLMNatural Language Processinglarge language modelsDeep LearningPythonTensorflowPytorchnamed entity recognition,Data Science,Pune,4,8,Mid Level (3-5 Yrs),Not Disclosed
Analyst Data Science,Navit Software Solutions,8-11 Yrs,2.5-7.5 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Calicut/ Kozhikode, Kerala, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Data ScienceNatural Language ProcessingNeural NetworksTime SeriesComputer VisionProcessNetworkingScience,Data Science,Kolkata,8,11,Senior (6-10 Yrs),Disclosed
Marketing Analyst - Data Science,Triangle Global,1-5 Yrs,18-30 Lacs PA,"Pune, Maharashtra(Kalyani Nagar)",AutomationSemiconductorProject managementRisk assessmentMachine learningData analyticsJSONSQL,Data Science,Pune,1,5,Junior (1-2 Yrs),Disclosed
Data Science (Data Scientist/ Sr.Data Scientist),Walmart,4-8 Yrs,Unpaid,Thane,NoSQLdata scienceAgile scrumProject managementMachine learningData analyticsdata visualizationOpen source,Data Science,Thane,4,8,Mid Level (3-5 Yrs),Disclosed
Senior Manager - Data Science,AMERICAN EXPRESS,10-15 Yrs,Not disclosed,"Hybrid - Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)",Predictive ModelingStatistical ModelingMachine LearningPythonFinancial ModellingRLogistic RegressionRisk Analytics,Data Science,Hybrid - Bangalore/ Bangalore,10,15,Senior (6-10 Yrs),Not Disclosed
Manager - Analytics & Data Science,BMC Software,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Text miningCareer developmentCodingAnalyticalMachine learningmodel developmentRisk managementPython,Data Science,Bangalore,4,8,Mid Level (3-5 Yrs),Not Disclosed
"Data Science Engineer - NLP, LLM, and Generative AI Services",Desicrew Solutions,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,pythonnumpymachine learningtensorflowPandasdeep learning frameworksalgorithmsdata analytics,Data Science,Bangalore,1,4,Junior (1-2 Yrs),Not Disclosed
Data Science Engineer,Phonologies,4-5 Yrs,Not disclosed,"Thane, Maharashtra, Navi Mumbai, Maharashtra, Mumbai (All Areas)",SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk,Data Science,Thane,4,5,Mid Level (3-5 Yrs),Not Disclosed
Intern - Data Science,Data Science Wizards,4-5 Yrs,Not disclosed,Gurgaon/Gurugram,SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk,Data Science,Gurgaon,4,5,Mid Level (3-5 Yrs),Not Disclosed
Data Science Lead,Infogain,4-5 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka(Electronic City)",SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk,Data Science,Bangalore/ Bangalore,4,5,Mid Level (3-5 Yrs),Not Disclosed
Data Engineer - Machine Learning/Data Science,Globalfoundries,5-9 Yrs,Not disclosed,Warangal,javaSparkPythonKafka,Data Science,Warangal,5,9,Mid Level (3-5 Yrs),Not Disclosed
Lead Data Science Engineer,Coders Brain Pvt Ltd,4-9 Yrs,Not disclosed,Tiruchirapalli/Trichy,Computer scienceWealth managementLead Business AnalystMachine learningManager TechnologyStakeholder managementFinancial servicesAnalytics,Data Science,Tiruchirapalli/Trichy,4,9,Mid Level (3-5 Yrs),Not Disclosed
Data Scientist Fraud & Credit Risk - Decision Science,Fiserv,5-10 Yrs,Not disclosed,Madurai,PysparkBigqueryHDFSDataprocMiopsAirflowVertexPubsub,Data Science,Madurai,5,10,Mid Level (3-5 Yrs),Not Disclosed
Manager - Data Science,AMERICAN EXPRESS,2-5 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Computer scienceData analysisUsageDebuggingSystem programmingData collectionHypothesis Testinghr solutions,Data Science,Hybrid - Bangalore,2,5,Junior (1-2 Yrs),Not Disclosed
Data Science Engineer,Augusta Infotech,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Predictive ModelingCustomer AnalyticsMarketing AnalyticsMachine LearningPythonAWSDataSenior,Data Science,Bangalore,6,8,Senior (6-10 Yrs),Not Disclosed
Manager - Data Science - Analytics,Tata Capital,11-17 Yrs,7-12 Lacs PA,"Pune, Maharashtra, Bangalore/Bengaluru, Trivandrum/ Thiruvananthapuram, Kerala",Artificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningInformation Extractionfeature-learning.Market Intelligencesearch,Data Science,Pune,11,17,Expert (10+ Yrs),Disclosed
Manager - Data Science - Analytics,Tata Capital,3-8 Yrs,Not disclosed,New Delhi,Data Science EngineerMachine LearningDeep LearningData SciencePythonPredictive ModelingMachine Learning opsRegression,Data Science,Delhi,3,8,Mid Level (3-5 Yrs),Not Disclosed
Manager - Data Science - Analytics,Tata Capital,0-1 Yrs,35-45 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",Computer visiondata scienceCodingAnalyticalArtificial IntelligenceMachine learningData structuresAnalytics,Data Science,Hybrid - Gurgaon/ Gurgaon,0,1,Fresher (0 Yrs),Disclosed
Data Science Engineer : Bangalore,Oracle,1-3 Yrs,Not disclosed,"Noida, Uttar Pradesh",Data analysisData validationExcelData modelingAnalyticalData collectionTIBCOData quality,Data Science,Noida,1,3,Junior (1-2 Yrs),Not Disclosed
Business Analyst - Data Science,PayU,2-6 Yrs,Not disclosed,"Hassan, Karnataka, Kolar, Karnataka, Bangalore/ Bengaluru, Karnataka",Data analysisdata scienceAnalyticalPredictive modelingRisk managementData miningForecastingFinancial services,Data Science,Hassan,2,6,Junior (1-2 Yrs),Not Disclosed
Data Science and Analytics Technology Lead For Infosys - C2H,Orcapod Consulting Services,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Data Scienceoperational supportdata analysisdata managementadvanced excelteam handlingstatistical modelinghardware testing,Data Science,Bangalore,8,10,Senior (6-10 Yrs),Not Disclosed
Data Science/Analyst,MyfutureJob,1-2 Yrs,Not disclosed,Mumbai,Operations researchLinuxAnalyticalRisk managementBusiness intelligenceDigital marketingGamingFinancial services,Data Science,Mumbai,1,2,Junior (1-2 Yrs),Not Disclosed
Senior Manager - Data Science | 6-8 Years| Bengaluru/Gurugram,Xtage Technologies,10-13 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceAnalyticsRPythonScienceDataAssistanceData analytics,Data Science,Bangalore,10,13,Senior (6-10 Yrs),Not Disclosed
VP - Data Science,Info Edge,6-9 Yrs,Not disclosed,Mumbai,pythondata sciencenginxBertDeep LearningkubernetesfastapiCloud,Data Science,Mumbai,6,9,Senior (6-10 Yrs),Not Disclosed
Data Science Engineer | Leading IT Co. | Bangalore,Hindco Recruitment Consultants,5-10 Yrs,Not disclosed,Pune,UnixAutomationdata scienceLinuxBusiness analysisMachine learningdata visualizationTest cases,Data Science,Pune,5,10,Mid Level (3-5 Yrs),Not Disclosed
Engineer - Data Science (DATA SCIENCE ENGINEER),Ninestars Information Technologies,5-8 Yrs,35-50 Lacs PA,Mumbai (All Areas),Data ScienceregressionLinear RegressionPythonCustomer Analyticsdata scientistModel BuildingMarketing Analytics,Data Science,Mumbai (All Areas),5,8,Mid Level (3-5 Yrs),Disclosed
Data Analyst - Equity Data Science,Equity Data Science,1-3 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Bangalore/Bengaluru",Computer scienceTrainingCareer developmentData analysisdata scienceMachine learningPredictive modelingdata visualization,Data Science,Hybrid - Noida,1,3,Junior (1-2 Yrs),Not Disclosed
Sr. Data Science Analyst,Alliance Data,4-9 Yrs,Unpaid,Hyderabad/Secunderabad,customer analyticsMarketing analyticsdata scienceProcess documentationAnalyticalConsultingMachine learningSilicon,Data Science,Hyderabad,4,9,Mid Level (3-5 Yrs),Disclosed
Data Science Application Developer,Accenture,10-15 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, New Delhi, Pune, Chennai, Bangalore/Bengaluru",Front endGITNoSQLWeb analyticsRDBMScassandraJSONtest driven development,Data Science,Kolkata,10,15,Senior (6-10 Yrs),Not Disclosed
"Consultant, Data Science & Analytics",Transunion,6-8 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana, Bangalore Rural, Karnataka, Chennai, Tamil Nadu",Software DevelopmentData SciencepythonNoSQLGCPHadoopOLAPSpark,Data Science,Hybrid - Hyderabad/ Secunderabad,6,8,Senior (6-10 Yrs),Not Disclosed
Assistant Vice President/Vice President - Data Science and Analytics,Fairdeal Corporate Advisors,6-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",JavascriptingCPythonSQLSemiconductorStatistical analysisDiagnostics,Data Science,Kolkata,6,11,Senior (6-10 Yrs),Not Disclosed
Data Science Engineer || 4+ yrs,Emids,6-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Javadata scienceProgrammingSQLPythondata modelingdata sciencescircuit analysis,Data Science,Hyderabad,6,10,Senior (6-10 Yrs),Not Disclosed
Intern - Data Science Engineer,Micron Software,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",HibernateTomcatdata scienceData collectionJDBCbig dataPentahoAnalytics,Data Science,Kolkata,3,7,Mid Level (3-5 Yrs),Not Disclosed
Data Science Professional,Response Informatics,7-7 Yrs,Not disclosed,Bangalore/Bengaluru,Computer visiondeep learningdata scienceArchitectureResourcingCompetency developmentBudgetingAnalytics,Data Science,Bangalore,7,7,Senior (6-10 Yrs),Not Disclosed
Data Scientist - Data Science (Regression),Tiger Analytics,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisGITCodingMachine learningPredictive modelingdata visualizationAnalyticsMonitoring,Data Science,Bangalore,3,6,Mid Level (3-5 Yrs),Not Disclosed
Data Science Trainer,Super Scholar,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisGITCodingMachine learningPredictive modelingdata visualizationAnalyticsMonitoring,Data Science,Bangalore,2,5,Junior (1-2 Yrs),Not Disclosed
Data Scientist - Data Science (Regression),Tiger Analytics,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Trainingdeep learningtableaudata scienceCodingAnalyticalMachine learningSubject Matter Expert,Data Science,Bangalore,2,5,Junior (1-2 Yrs),Not Disclosed
Data Science Professional,Coders Brain Pvt Ltd,0-1 Yrs,Unpaid,Betul,Cloud computingData managementData modelingMachine learningBusiness intelligenceData miningInformation technologySQL,Data Science,Betul,0,1,Fresher (0 Yrs),Disclosed
Software Development Engineer III - Data Sciences,Flipkart,6-10 Yrs,Unpaid,Remote,pythonMachine learningData sciencesqltime seriesstatistical modellingDataData analysis,Data Science,Remote,6,10,Senior (6-10 Yrs),Disclosed
Data Science Engineer,IBM,8-13 Yrs,Not disclosed,Chennai,data scienceCodingConsultingManager Quality ControlRisk managementPortfolio managementAnalyticsSQL,Data Science,Chennai,8,13,Senior (6-10 Yrs),Not Disclosed
Data Science Engineer,IBM,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,Product managementBusiness processERPProduct engineeringCompetitive analysisMachine learningManagement consultingMarket research,Data Science,Bangalore,12,15,Expert (10+ Yrs),Not Disclosed
Data Science Engineers,Tata Elxsi,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,Operational excellenceEDCManagement systemsClinical trialsHealthcareDocument managementdata visualizationManagement,Data Science,Bangalore,4,7,Mid Level (3-5 Yrs),Not Disclosed
Data Science Intern,Brave Ai Lab,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceAutomationData analysisjQuerydata scienceXMLMachine learningJSON,Data Science,Bangalore,3,8,Mid Level (3-5 Yrs),Not Disclosed
Data Science - Intern,MNJ Software,1-3 Yrs,Not disclosed,Mumbai,C++data scienceMachine learningAgileData processingData qualityData miningSQL,Data Science,Mumbai,1,3,Junior (1-2 Yrs),Not Disclosed
"Senior Engineer, Data Science",Renault,2-5 Yrs,Not disclosed,"Hybrid - Bangalore/ Bengaluru, Karnataka",data scienceData modelingArtificial IntelligenceMachine learningData structuresOracleCustomer engagementcisco,Data Science,Hybrid - Bangalore/ Bangalore,2,5,Junior (1-2 Yrs),Not Disclosed
Advisory Data Science Manager,KPMG Global Services Private Limited,5-7 Yrs,Unpaid,New Delhi,pythondata scienceTeam ManagementPredictive ModelingArtificial IntelligenceNatural Language ProcessingComputer VisionMachine Learning,Data Science,Delhi,5,7,Mid Level (3-5 Yrs),Disclosed
Advisory Data Science Assistant Manager,KPMG Global Services Private Limited,4-7 Yrs,Not disclosed,Mumbai,Supply chainData analysiscustomer analyticsCodingBusiness analyticsAnalyticalMySQLData mining,Data Science,Mumbai,4,7,Mid Level (3-5 Yrs),Not Disclosed
MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,2-6 Yrs,Not disclosed,Pune,Data analysisdata scienceBusiness analysisDjangoMachine learningApplication developmentData qualityAnalytics,Data Science,Pune,2,6,Junior (1-2 Yrs),Not Disclosed
Junior Software Engineer - Data Science,LogiNext,7-10 Yrs,Not disclosed,Chennai,Computer scienceData analysisOperations researchManager Quality AssuranceCodingProject managementMS OfficePowerpoint,Data Science,Chennai,7,10,Senior (6-10 Yrs),Not Disclosed
Principal Analyst - Data Science,Factspan Analytics,7-10 Yrs,Unpaid,Remote,DjangoMachine learningHTMLHTTPmicrosoftAnalyticsFinancial servicesSQL,Data Science,Remote,7,10,Senior (6-10 Yrs),Disclosed
Data Science Intern,Razor Group Gmbh,3-9 Yrs,Not disclosed,Noida,Trainingdeep learningdata scienceMachine learningdata visualizationBusiness intelligenceAnalyticsPython,Data Science,Noida,3,9,Mid Level (3-5 Yrs),Not Disclosed
"Senior Manager, Data Science",Visa Inc,8-10 Yrs,Not disclosed,Gurgaon/Gurugram,Data SciencelevenshteinSoundexfuzzy matchingPythoncosineDataTrigonometry,Data Science,Gurgaon,8,10,Senior (6-10 Yrs),Not Disclosed
